B_BUS_ID;B_LEA_OR_ENTITY_NAME;F_CITY;C_FLEET_OPERATOR_1_IF_APPLICABLE;N_CURRENT_STATUS_OF_BUS;O_BATCH;T_BUS_OEM;U_ELECTRIC_POWERTRAIN_MANUFACTURER;V_MODEL;W_TYPE;X_DEALER;Y_MULTIPLE_FUNDING_SOURCES_USED;Z_FUNDING_SOURCE_1;AA_AGENCY_ADMINISTERING_FUNDS_1;Z_FUNDING_SOURCE_2;AB_DOLLAR_AMOUNT_TOWARD_BUS;AE_DOLLAR_AMOUNT_TOWARD_CHARGER;A_DATE_OF_MOST_RECENT_SOURCE;B_SOURCE_1;B_SOURCE_2;LEA_ID_NON_TRIM;QUARTER_AWARDED;ANNEE_ORDERED;QUARTER_ORDERED;ANNEE_DELIVERED;QUARTER_DELIVERED;ANNEE_OPERATING;QUARTER_OPERATING;fundraiser_1 montant;fundraiser-2 montant;LEA_ID;ANNEE_AWARDED;date_awarded;date_ordered;date_delivered;date_operating;awarded_to_ordered;ordered_to_delivered;delivered_to_operating
36;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
37;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
38;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
39;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
40;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
41;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
42;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
43;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
44;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
45;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
